YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 28 01 00  82  7.3  8.5  0.98  4.35  3.93 999 1021.2   2.6   2.6 999.0 99.0 99.00
2006 04 28 02 00  90  7.4  8.3  0.84  4.55  3.83 999 1021.6   3.1   2.5 999.0 99.0 99.00
2006 04 28 03 00  98  6.6  7.8  0.88  4.55  3.87 999 1022.2   3.3   2.5 999.0 99.0 99.00
2006 04 28 04 00 114  6.3  7.2  0.83  4.55  3.78 999 1022.9   3.3   2.5 999.0 99.0 99.00
2006 04 28 05 00 116  5.5  6.5  0.71  4.55  3.70 999 1023.0   3.1   2.5 999.0 99.0 99.00
2006 04 28 06 00 107  5.3  6.1  0.62  4.17  3.62 999 1023.2   3.3   2.5 999.0 99.0 99.00
2006 04 28 07 00 100  5.4  6.2  0.53  4.35  3.51 999 1023.2   3.6   2.5 999.0 99.0 99.00
2006 04 28 08 00  92  4.7  5.6  0.48  4.35  3.46 999 1023.3   3.4   2.5 999.0 99.0 99.00
2006 04 28 09 00  82  4.8  5.5  0.42  3.85  3.39 999 1023.5   3.2   2.5 999.0 99.0 99.00
2006 04 28 10 00  80  4.2  4.7  0.38  4.00  3.31 999 1024.0   3.1   2.5 999.0 99.0 99.00
2006 04 28 11 00  76  4.0  4.5  0.34  3.57  3.19 999 1024.3   2.9   2.5 999.0 99.0 99.00
2006 04 28 12 00  97  4.5  5.2  0.35  3.13  3.13 999 1024.7   3.2   2.5 999.0 99.0 99.00
2006 04 28 13 00 112  4.4  5.0  0.36  2.86  3.08 999 1025.2   3.3   2.5 999.0 99.0 99.00
2006 04 28 14 00 116  5.2  5.9  0.38  3.13  3.10 999 1025.1   3.3   2.5 999.0 99.0 99.00
2006 04 28 15 00 103  5.3  6.0  0.46  3.03  3.11 999 1024.9   3.3   2.6 999.0 99.0 99.00
2006 04 28 16 00 100  5.0  5.6  0.43  3.33  3.14 999 1024.9   3.7   2.6 999.0 99.0 99.00
2006 04 28 17 00  82  4.8  5.4  0.43  3.23  3.16 999 1024.7   3.8   2.8 999.0 99.0 99.00
2006 04 28 18 00  72  5.9  6.6  0.41  3.57  3.13 999 1024.0   3.7   2.7 999.0 99.0 99.00
2006 04 28 19 00  53  6.0  6.8  0.43  3.33  3.07 999 1024.3   4.0   2.7 999.0 99.0 99.00
2006 04 28 20 00  53  7.0  8.2  0.44  3.23  3.07 999 1023.9   4.1   2.7 999.0 99.0 99.00
2006 04 28 21 00  49  6.5  7.2  0.48  3.13  3.14 999 1023.8   4.1   2.7 999.0 99.0 99.00
2006 04 28 22 00  52  7.1  8.0  0.57  3.45  3.30 999 1023.4   4.1   2.7 999.0 99.0 99.00
2006 04 28 23 00  53  7.6  8.6  0.63  3.70  3.38 999 1023.1   4.3   2.7 999.0 99.0 99.00
2006 04 29 00 00  45  7.1  8.7  0.70  3.85  3.43 999 1022.8   4.3   2.6 999.0 99.0 99.00
2006 04 29 01 00  41  8.0  9.0  0.72  3.85  3.45 999 1022.7   3.9   2.6 999.0 99.0 99.00
2006 04 29 02 00  50  8.4  9.5  0.76  4.00  3.52 999 1023.0   4.0   2.6 999.0 99.0 99.00
2006 04 29 03 00  32  6.8  8.3  0.87  4.17  3.65 999 1023.9   3.7   2.6 999.0 99.0 99.00
2006 04 29 04 00  38  7.5  8.6  0.86  4.17  3.71 999 1024.1   3.6   2.6 999.0 99.0 99.00
2006 04 29 05 00  42  6.5  7.6  0.87  4.17  3.71 999 1024.2   3.6   2.6 999.0 99.0 99.00
2006 04 29 06 00  41  6.1  6.8  0.79  4.35  3.81 999 1024.7   3.5   2.6 999.0 99.0 99.00
2006 04 29 07 00  34  5.9  6.8  0.74  4.17  3.74 999 1025.0   3.4   2.6 999.0 99.0 99.00
2006 04 29 08 00  45  5.2  6.0  0.74  4.35  3.85 999 1025.4   3.4   2.6 999.0 99.0 99.00
2006 04 29 09 00  53  4.8  5.3  0.62  4.35  3.80 999 1025.5   3.4   2.6 999.0 99.0 99.00
2006 04 29 10 00  46  3.2  3.5  0.60  4.35  3.75 999 1025.4   3.5   2.6 999.0 99.0 99.00
2006 04 29 11 00  65  3.3  4.0  0.54  4.17  3.73 999 1025.7   3.4   2.6 999.0 99.0 99.00
2006 04 29 12 00  58  3.4  4.0  0.46  3.85  3.61 999 1026.1   3.7   2.6 999.0 99.0 99.00
2006 04 29 13 00  45  3.7  4.5  0.44  3.70  3.62 999 1026.5   3.9   2.6 999.0 99.0 99.00
2006 04 29 16 00  74  4.8  5.4  0.41  3.33  3.27 999 1025.9   5.0   2.7 999.0 99.0 99.00
2006 04 29 17 00  59  4.9  5.6  0.45  2.94  3.16 999 1026.0   4.7   2.7 999.0 99.0 99.00
2006 04 29 18 00  57  5.9  6.8  0.45  3.13  3.16 999 1026.1   4.5   2.7 999.0 99.0 99.00
2006 04 29 19 00  50  6.1  7.2  0.44  3.23  3.21 999 1025.7   4.3   2.8 999.0 99.0 99.00
2006 04 29 20 00  53  7.4  8.8  0.57  3.45  3.22 999 1025.3   4.1   2.8 999.0 99.0 99.00
2006 04 29 21 00  62  7.0  8.0  0.67  3.57  3.37 999 1025.0   4.3   2.8 999.0 99.0 99.00
2006 04 29 22 00  75  7.1  7.8  0.73  3.85  3.53 999 1024.5   5.3   2.8 999.0 99.0 99.00
2006 04 29 23 00  65  6.2  6.8  0.79  4.17  3.69 999 1023.9   4.7   2.8 999.0 99.0 99.00
2006 04 30 00 00  71  7.3  8.3  0.74  4.35  3.72 999 1023.8   5.0   2.7 999.0 99.0 99.00
2006 04 30 01 00  69  6.4  7.3  0.85  4.00  3.70 999 1024.1   4.8   2.7 999.0 99.0 99.00
2006 04 30 02 00  79  5.6  6.3  0.83  4.35  3.79 999 1024.3   4.7   2.7 999.0 99.0 99.00
2006 04 30 03 00  90  5.9  6.7  0.78  4.55  3.79 999 1024.3   4.9   2.6 999.0 99.0 99.00
2006 04 30 04 00  83  3.4  3.8  0.82  4.76  3.87 999 1024.8   4.3   2.6 999.0 99.0 99.00
2006 04 30 05 00  56  4.4  5.4  0.73  4.00  3.88 999 1024.3   4.5   2.6 999.0 99.0 99.00
2006 04 30 06 00  62  7.3  9.0  0.67  5.00  3.88 999 1023.5   4.5   2.6 999.0 99.0 99.00
2006 04 30 07 00  50  7.5  8.5  0.64  4.55  3.59 999 1022.6   4.1   2.6 999.0 99.0 99.00
2006 04 30 08 00  55  9.0 10.4  0.69  4.35  3.47 999 1022.2   3.7   2.6 999.0 99.0 99.00
2006 04 30 09 00  66  9.8 11.3  0.87  4.35  3.59 999 1021.4   4.3   2.6 999.0 99.0 99.00
2006 04 30 11 00  74 10.6 12.5  1.12  4.35  3.87 999 1020.2   4.7   2.6 999.0 99.0 99.00
2006 04 30 12 00  75  8.7 10.2  1.20  4.76  4.02 999 1020.9   4.4   2.7 999.0 99.0 99.00
2006 04 30 13 00  74  8.8 10.2  1.12  4.55  3.94 999 1021.0   4.5   2.7 999.0 99.0 99.00
2006 04 30 14 00  73  9.8 11.0  1.09  4.76  3.92 999 1020.6   4.8   2.7 999.0 99.0 99.00
2006 04 30 15 00  66  9.7 11.2  1.08  4.76  3.98 999 1019.8   4.7   2.7 999.0 99.0 99.00
2006 04 30 16 00  60  9.3 10.5  1.14  4.76  3.95 999 1020.0   4.5   2.7 999.0 99.0 99.00
2006 04 30 17 00  64  9.3 10.9  1.19  4.76  4.04 999 1019.4   5.0   2.7 999.0 99.0 99.00
2006 04 30 18 00  62  9.2 10.4  1.16  4.76  4.06 999 1018.5   4.8   2.7 999.0 99.0 99.00
2006 04 30 19 00  62 10.1 11.4  1.15  4.55  4.02 999 1018.0   5.2   2.7 999.0 99.0 99.00
2006 04 30 20 00  73  9.9 11.3  1.29  5.00  4.18 999 1018.0   6.2   2.7 999.0 99.0 99.00
2006 04 30 21 00  76  9.1 10.3  1.43  5.00  4.29 999 1018.2   5.7   2.7 999.0 99.0 99.00
2006 04 30 22 00  72  9.1 10.6  1.49  5.88  4.57 999 1017.9   5.7   2.7 999.0 99.0 99.00
2006 04 30 23 00  69  8.8 10.1  1.28  6.25  4.45 999 1017.2   5.8   2.7 999.0 99.0 99.00
2006 05 01 00 00  83  8.6  9.8  1.52  5.88  4.52 999 1017.4   6.1   2.7 999.0 99.0 99.00
2006 05 01 01 00  85  9.2 10.1  1.39  5.56  4.44 999 1017.6   6.4   2.7 999.0 99.0 99.00
2006 05 01 02 00  86  7.8  9.3  1.23  5.26  4.31 999 1018.0   5.8   2.7 999.0 99.0 99.00
2006 05 01 03 00  96  8.5  9.8  1.33  4.35  4.37 999 1018.2   6.8   2.7 999.0 99.0 99.00
2006 05 01 04 00  91  8.1  9.3  1.24  4.35  4.30 999 1018.3   6.2   2.7 999.0 99.0 99.00
2006 05 01 05 00  90  8.3  9.6  1.20  4.35  4.25 999 1018.0   6.1   2.7 999.0 99.0 99.00
2006 05 01 06 00  91  8.2  9.0  1.04  4.35  4.08 999 1017.4   6.1   2.7 999.0 99.0 99.00
2006 05 01 07 00  96  7.5  8.3  0.98  4.35  4.06 999 1017.4   6.4   2.7 999.0 99.0 99.00
