#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 05 04 22 00  55  8.6  9.9  0.83  4.00  3.55 999 1019.5   4.8 999.0 999.0 99.0 99.00
2007 05 04 23 00  59  9.1 10.3  0.87  4.35  3.75 999 1019.1   4.9 999.0 999.0 99.0 99.00
2007 05 05 00 00  66  8.6  9.8  0.95  4.35  3.82 999 1018.9   5.3 999.0 999.0 99.0 99.00
2007 05 05 01 00  78  8.0  9.2  0.96  4.35  3.83 999 1018.9   5.3 999.0 999.0 99.0 99.00
2007 05 05 02 00  93  8.2  9.2  1.01  5.00  3.95 999 1019.0   6.1 999.0 999.0 99.0 99.00
2007 05 05 03 00  96  8.5  9.6  1.01  4.55  3.94 999 1019.5   5.9 999.0 999.0 99.0 99.00
2007 05 05 04 00  96  8.0  8.9  1.01  4.76  3.89 999 1020.1   5.6 999.0 999.0 99.0 99.00
2007 05 05 05 00  96  7.1  7.8  0.82  4.00  3.78 999 1020.6   5.2 999.0 999.0 99.0 99.00
2007 05 05 06 00  85  6.9  7.7  0.78  4.76  3.70 999 1020.9   4.7 999.0 999.0 99.0 99.00
2007 05 05 07 00  82  5.8  6.4  0.72  4.17  3.69 999 1021.2   4.3 999.0 999.0 99.0 99.00
2007 05 05 08 00  64  5.2  5.9  0.54  4.35  3.60 999 1021.4   3.7 999.0 999.0 99.0 99.00
2007 05 05 09 00  71  7.3  8.4  0.66  4.35  3.77 999 1021.4   3.8 999.0 999.0 99.0 99.00
2007 05 05 10 00  81  8.2 10.0  0.75  4.35  3.59 999 1021.8   4.3 999.0 999.0 99.0 99.00
2007 05 05 11 00  89  8.6 10.5  0.88  4.00  3.69 999 1022.1   4.7 999.0 999.0 99.0 99.00
2007 05 05 12 00  83  7.3  8.3  0.88  4.55  3.79 999 1022.7   4.3 999.0 999.0 99.0 99.00
2007 05 05 13 00  68  5.7  6.7  0.87  4.76  3.92 999 1024.0   4.4 999.0 999.0 99.0 99.00
2007 05 05 14 00  68  8.6 10.0  1.00  5.00  4.02 999 1024.0   4.2 999.0 999.0 99.0 99.00
2007 05 05 15 00  73  9.0 10.5  1.16  5.00  4.04 999 1024.5   4.1 999.0 999.0 99.0 99.00
2007 05 05 16 00  63  8.9 10.6  1.37  5.00  4.34 999 1025.0   3.8 999.0 999.0 99.0 99.00
2007 05 05 17 00  57  9.3 11.3  1.31  5.26  4.25 999 1025.4   3.5 999.0 999.0 99.0 99.00
2007 05 05 18 00  60  9.7 11.1  1.29  4.76  4.16 999 1025.6   3.9 999.0 999.0 99.0 99.00
2007 05 05 19 00  63  9.4 11.3  1.46  5.00  4.36 999 1025.8   3.9 999.0 999.0 99.0 99.00
2007 05 05 20 00  65  8.9 10.2  1.51  5.56  4.51 999 1026.1   3.8 999.0 999.0 99.0 99.00
2007 05 05 21 00  65  8.9 10.7  1.46  6.25  4.49 999 1025.8   4.4 999.0 999.0 99.0 99.00
2007 05 05 22 00  67  9.6 11.9  1.42  6.25  4.57 999 1025.2   4.5 999.0 999.0 99.0 99.00
2007 05 05 23 00  73  8.9 10.7  1.48  5.88  4.58 999 1025.1   4.9 999.0 999.0 99.0 99.00
2007 05 06 00 00  85 10.3 11.6  1.37  6.25  4.34 999 1025.2   5.7 999.0 999.0 99.0 99.00
2007 05 06 01 00  88  9.9 11.3  1.39  5.88  4.46 999 1025.1   5.6 999.0 999.0 99.0 99.00
2007 05 06 02 00  92  9.0 10.4  1.28  6.25  4.33 999 1025.9   6.3 999.0 999.0 99.0 99.00
2007 05 06 03 00  88  7.9  9.2  1.26  5.88  4.37 999 1026.5   5.7 999.0 999.0 99.0 99.00
2007 05 06 04 00  88  5.9  6.8  1.14  5.00  4.27 999 1027.4   5.0 999.0 999.0 99.0 99.00
2007 05 06 05 00  91  5.0  5.6  0.94  5.26  4.30 999 1028.0   4.6 999.0 999.0 99.0 99.00
2007 05 06 06 00  88  6.3  7.0  0.85  5.88  4.24 999 1027.5   4.9 999.0 999.0 99.0 99.00
2007 05 06 07 00  76  4.9  6.0  0.77  5.56  4.26 999 1027.6   5.3 999.0 999.0 99.0 99.00
2007 05 06 08 00  79  6.1  6.6  0.71  5.88  4.11 999 1027.3   4.8 999.0 999.0 99.0 99.00
2007 05 06 09 00  84  5.5  6.1  0.64  5.56  4.04 999 1026.4   5.4 999.0 999.0 99.0 99.00
2007 05 06 10 00  93  5.7  6.2  0.59  5.56  4.03 999 1026.4   5.7 999.0 999.0 99.0 99.00
2007 05 06 11 00 102  5.8  6.9  0.56  5.00  3.77 999 1028.0   5.3 999.0 999.0 99.0 99.00
2007 05 06 12 00 110  5.5  6.0  0.60  4.76  3.72 999 1027.4   5.8 999.0 999.0 99.0 99.00
2007 05 06 13 00 107  5.7  6.7  0.63  3.33  3.63 999 1026.8   5.9 999.0 999.0 99.0 99.00
2007 05 06 14 00 105  4.7  5.8  0.83  5.00  4.03 999 1026.6   5.9 999.0 999.0 99.0 99.00
2007 05 06 15 00  96  5.3  6.1  1.06  4.76  4.22 999 1026.6   5.2 999.0 999.0 99.0 99.00
2007 05 06 16 00  83  4.0  4.3  0.89  5.00  4.12 999 1027.0   4.5 999.0 999.0 99.0 99.00
2007 05 06 17 00  69  4.2  4.8  0.77  4.55  4.03 999 1026.6   5.0 999.0 999.0 99.0 99.00
2007 05 06 18 00  66  4.5  5.2  0.64  4.55  3.83 999 1025.4   4.3 999.0 999.0 99.0 99.00
2007 05 06 19 00  78  4.2  5.6  0.56  4.00  3.76 999 1024.5   4.6 999.0 999.0 99.0 99.00
2007 05 06 20 00  78  5.8  6.6  0.48  3.85  3.60 999 1023.0   4.7 999.0 999.0 99.0 99.00
2007 05 06 21 00  78  4.5  4.9  0.46  3.70  3.36 999 1022.1   5.6 999.0 999.0 99.0 99.00
2007 05 06 22 00  58  4.5  5.3  0.43  3.33  3.34 999 1021.5   5.3 999.0 999.0 99.0 99.00
2007 05 06 23 00  99  3.4  3.8  0.40  3.33  3.34 999 1021.8   7.1 999.0 999.0 99.0 99.00
2007 05 07 00 00 135  5.9  6.3  0.42  3.33  3.33 999 1020.1   7.2 999.0 999.0 99.0 99.00
2007 05 07 01 00 129  5.5  6.0  0.45  3.23  3.35 999 1019.7   6.8 999.0 999.0 99.0 99.00
2007 05 07 02 00 145  5.0  5.6  0.52  3.57  3.41 999 1020.2   7.5 999.0 999.0 99.0 99.00
2007 05 07 03 00 156  5.3  5.9  0.52  3.57  3.45 999 1020.4   6.3 999.0 999.0 99.0 99.00
2007 05 07 04 00 188  5.8  6.4  0.49  3.70  3.36 999 1020.1   8.6 999.0 999.0 99.0 99.00
2007 05 07 05 00 171  5.7  6.2  0.42  3.13  3.39 999 1020.1   7.0 999.0 999.0 99.0 99.00
2007 05 07 06 00 163  5.7  6.3  0.45  3.33  3.42 999 1019.8   6.5 999.0 999.0 99.0 99.00
2007 05 07 07 00 170  7.0  8.2  0.52  3.33  3.34 999 1018.9   6.9 999.0 999.0 99.0 99.00
2007 05 07 08 00 174  8.3  9.3  0.48  3.33  3.31 999 1018.4   8.3 999.0 999.0 99.0 99.00
2007 05 07 09 00 167  6.5  7.0  0.51  3.23  3.30 999 1017.4   7.4 999.0 999.0 99.0 99.00
2007 05 07 10 00 162  4.4  4.7  0.39  3.33  3.51 999 1017.4   6.6 999.0 999.0 99.0 99.00
2007 05 07 11 00 173  2.2  4.2  0.35  5.00  3.52 999 1016.8   8.0 999.0 999.0 99.0 99.00
2007 05 07 12 00 161  3.1  3.5  0.32  2.94  3.45 999 1016.5   5.9 999.0 999.0 99.0 99.00
2007 05 07 13 00 195  2.6  2.8  0.35  5.26  3.50 999 1016.0   5.3 999.0 999.0 99.0 99.00
2007 05 07 14 00 187  3.2  3.4  0.40  4.17  3.56 999 1015.5   7.0 999.0 999.0 99.0 99.00
2007 05 07 15 00 298  0.3  1.1  0.49  4.17  3.64 999 1015.1   6.6 999.0 999.0 99.0 99.00
2007 05 07 16 00 216  2.1  2.4  0.56  4.00  3.69 999 1015.0   6.7 999.0 999.0 99.0 99.00
2007 05 07 17 00 235  4.7  5.8  0.46  3.70  3.56 999 1015.1   5.6 999.0 999.0 99.0 99.00
2007 05 07 18 00 245  5.0  5.5  0.38  3.45  3.45 999 1014.5   6.7 999.0 999.0 99.0 99.00
2007 05 07 19 00 193  4.6  5.5  0.37  3.85  3.55 999 1014.2   5.3 999.0 999.0 99.0 99.00
2007 05 07 20 00 207  2.6  2.7  0.37  3.45  3.43 999 1013.9   5.5 999.0 999.0 99.0 99.00
2007 05 07 21 00 272  1.8  2.3  0.35  3.45  3.42 999 1013.7   4.3 999.0 999.0 99.0 99.00
2007 05 07 22 00 197  4.0  4.3  0.28  3.45  3.54 999 1013.2   5.8 999.0 999.0 99.0 99.00
2007 05 07 23 00 176  6.3  7.0  0.27  3.33  3.45 999 1012.7   5.8 999.0 999.0 99.0 99.00
2007 05 08 00 00 216  3.7  4.2  0.32  3.45  3.50 999 1012.7   5.9 999.0 999.0 99.0 99.00
2007 05 08 01 00 211  3.4  3.9  0.28  3.33  3.52 999 1012.8   5.8 999.0 999.0 99.0 99.00
2007 05 08 02 00 202  3.0  3.4  0.26  3.33  3.50 999 1012.9   5.1 999.0 999.0 99.0 99.00
2007 05 08 03 00 213  5.5  6.1  0.22  5.26  3.64 999 1012.6   6.0 999.0 999.0 99.0 99.00
2007 05 08 04 00 247  6.6  7.3  0.25  2.86  3.24 999 1013.1   5.9 999.0 999.0 99.0 99.00
2007 05 08 05 00 243  3.6  3.9  0.26  2.78  3.14 999 1013.3   4.1 999.0 999.0 99.0 99.00
2007 05 08 06 00 224  5.3  5.9  0.28  3.03  3.17 999 1013.2   4.4 999.0 999.0 99.0 99.00
2007 05 08 07 00 245  4.5  5.0  0.36  3.03  3.15 999 1013.4   4.0 999.0 999.0 99.0 99.00
2007 05 08 08 00 247  4.7  5.4  0.33  2.94  3.22 999 1013.6   4.5 999.0 999.0 99.0 99.00
2007 05 08 09 00 252  5.3  5.8  0.38  3.45  3.17 999 1014.2   4.0 999.0 999.0 99.0 99.00
2007 05 08 10 00 227  4.9  5.4  0.37  3.03  3.10 999 1014.8   3.6 999.0 999.0 99.0 99.00
2007 05 08 11 00 243  5.0  5.5  0.36  3.03  3.12 999 1015.2   3.8 999.0 999.0 99.0 99.00
2007 05 08 12 00 239  3.8  4.4  0.37  3.33  3.23 999 1015.5   4.0 999.0 999.0 99.0 99.00
2007 05 08 13 00 235  4.2  4.5  0.29  3.33  3.19 999 1016.2   3.8 999.0 999.0 99.0 99.00
2007 05 08 14 00 236  4.8  5.3  0.29  3.33  3.19 999 1016.6   4.4 999.0 999.0 99.0 99.00
2007 05 08 15 00 231  5.4  6.0  0.28  3.03  3.10 999 1016.7   4.4 999.0 999.0 99.0 99.00
2007 05 08 16 00 223  4.6  5.1  0.27  3.23  3.07 999 1016.8   3.9 999.0 999.0 99.0 99.00
2007 05 08 17 00 239  4.8  5.5  0.26  3.23  3.09 999 1016.6   4.3 999.0 999.0 99.0 99.00
2007 05 08 18 00 217  3.9  4.5  0.25  3.23  3.03 999 1016.6   4.1 999.0 999.0 99.0 99.00
2007 05 08 19 00 207  5.7  6.3  0.22  3.33  3.05 999 1016.2   6.2 999.0 999.0 99.0 99.00
2007 05 08 20 00 202  4.8  5.4  0.21  3.13  3.07 999 1015.8   7.2 999.0 999.0 99.0 99.00
2007 05 08 21 00 207  3.4  3.5  0.18  2.94  3.02 999 1015.2   7.7 999.0 999.0 99.0 99.00
2007 05 08 22 00 204  4.4  4.6  0.17  2.94  3.06 999 1014.8   9.8 999.0 999.0 99.0 99.00
2007 05 08 23 00 190  4.0  4.4  0.00  0.00  0.00 999 1014.8   8.4 999.0 999.0 99.0 99.00
2007 05 09 00 00 360  2.2  3.6  0.18  3.85  3.22 999 1014.5   9.0 999.0 999.0 99.0 99.00
2007 05 09 01 00  23  3.5  3.9  0.00  0.00  0.00 999 1014.1   5.6 999.0 999.0 99.0 99.00
2007 05 09 02 00  43  3.0  3.1  0.16  3.03  3.11 999 1013.7   8.3 999.0 999.0 99.0 99.00
2007 05 09 03 00  77  2.2  2.4  0.00  0.00  0.00 999 1014.0   8.6 999.0 999.0 99.0 99.00
2007 05 09 04 00 123  4.1  5.9  0.00  0.00  0.00 999 1014.0  10.4 999.0 999.0 99.0 99.00
2007 05 09 05 00 119  3.4  3.7  0.00  0.00  0.00 999 1013.7   6.2 999.0 999.0 99.0 99.00
2007 05 09 06 00  73  1.9  2.0  0.00  0.00  0.00 999 1013.4   7.1 999.0 999.0 99.0 99.00
2007 05 09 07 00 323  1.6  4.6  0.00  0.00  0.00 999 1013.5   7.9 999.0 999.0 99.0 99.00
2007 05 09 08 00 340  2.5  2.9  0.00  0.00  0.00 999 1013.2   7.7 999.0 999.0 99.0 99.00
2007 05 09 09 00  51  3.0  3.8  0.00  0.00  0.00 999 1012.9   5.1 999.0 999.0 99.0 99.00
2007 05 09 10 00 256  2.7  4.3  0.00  0.00  0.00 999 1013.3   6.2 999.0 999.0 99.0 99.00
2007 05 09 11 00 353  2.9  3.7  0.00  0.00  0.00 999 1012.8   7.0 999.0 999.0 99.0 99.00
2007 05 09 12 00 285  1.7  4.7  0.00  0.00  0.00 999 1013.7   4.2 999.0 999.0 99.0 99.00
2007 05 09 13 00 301  2.3  2.8  0.00  0.00  0.00 999 1014.1   5.0 999.0 999.0 99.0 99.00
2007 05 09 14 00 354  1.3  1.9  0.00  0.00  0.00 999 1014.0   5.0 999.0 999.0 99.0 99.00
2007 05 09 15 00 359  0.6  1.6  0.00  0.00  0.00 999 1014.7   4.1 999.0 999.0 99.0 99.00
2007 05 09 16 00 300  1.0  1.8  0.00  0.00  0.00 999 1014.4   3.8 999.0 999.0 99.0 99.00
2007 05 09 17 00 295  1.4  2.1  0.00  0.00  0.00 999 1014.5   3.7 999.0 999.0 99.0 99.00
2007 05 09 18 00 321  1.7  2.1  0.00  0.00  0.00 999 1014.2   3.8 999.0 999.0 99.0 99.00
2007 05 09 19 00  68  2.5  3.8  0.00  0.00  0.00 999 1014.3   3.4 999.0 999.0 99.0 99.00
2007 05 09 20 00  80  2.0  2.9  0.00  0.00  0.00 999 1013.7   3.9 999.0 999.0 99.0 99.00
2007 05 09 21 00 138  1.2  1.3  0.00  0.00  0.00 999 1013.1   4.7 999.0 999.0 99.0 99.00
2007 05 09 22 00 129  1.7  2.2  0.00  0.00  0.00 999 1012.6   4.8 999.0 999.0 99.0 99.00
2007 05 09 23 00 142  3.0  3.8  0.00  0.00  0.00 999 1012.6   4.4 999.0 999.0 99.0 99.00
2007 05 10 00 00 156  3.3  3.6  0.00  0.00  0.00 999 1012.2   5.3 999.0 999.0 99.0 99.00
2007 05 10 01 00 343  2.3  4.2  0.00  0.00  0.00 999 1012.2   5.8 999.0 999.0 99.0 99.00
2007 05 10 02 00  29  2.5  2.9  0.00  0.00  0.00 999 1012.6   3.8 999.0 999.0 99.0 99.00
2007 05 10 03 00  24  3.4  3.6  0.00  0.00  0.00 999 1012.8   5.0 999.0 999.0 99.0 99.00
2007 05 10 04 00  36  2.6  2.7  0.00  0.00  0.00 999 1012.7   6.3 999.0 999.0 99.0 99.00
2007 05 10 05 00  62  3.6  3.8  0.00  0.00  0.00 999 1012.4   6.0 999.0 999.0 99.0 99.00
2007 05 10 06 00  28  2.1  2.4  0.00  0.00  0.00 999 1012.4   5.6 999.0 999.0 99.0 99.00
2007 05 10 07 00  49  2.6  3.2  0.00  0.00  0.00 999 1012.6   5.0 999.0 999.0 99.0 99.00
2007 05 10 08 00  58  1.5  1.8  0.00  0.00  0.00 999 1012.5   4.3 999.0 999.0 99.0 99.00
2007 05 10 09 00  31  2.3  2.5  0.00  0.00  0.00 999 1012.4   4.4 999.0 999.0 99.0 99.00
2007 05 10 10 00 117  2.2  2.5  0.00  0.00  0.00 999 1012.0   4.9 999.0 999.0 99.0 99.00
2007 05 10 11 00 198  1.5  1.7  0.00  0.00  0.00 999 1011.9   5.5 999.0 999.0 99.0 99.00
