#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 14 13 50 121  0.6  2.1  0.01 99.00  4.38 999 1008.9   3.8   3.0 999.0 99.0 99.00
2012 03 14 14 50  45  0.8  2.4  0.01 99.00  4.63 999 1009.1   4.8   3.3 999.0 99.0 99.00
2012 03 14 15 50  46  1.4  3.3  0.00 99.00  4.24 999 1008.8   5.7   3.8 999.0 99.0 99.00
2012 03 14 16 50  42  0.8  1.8  0.00 99.00  4.23 999 1008.9   6.3   4.3 999.0 99.0 99.00
2012 03 14 17 50  61  0.4  1.6  0.01 99.00  4.47 999 1008.5   7.1   4.7 999.0 99.0 99.00
2012 03 14 18 50  37  0.6  1.5  0.01 99.00  4.47 999 1008.5   8.4   5.3 999.0 99.0 99.00
2012 03 14 19 50  68  1.3  2.0  0.01 99.00  4.33 999 1008.2   8.7   6.3 999.0 99.0 99.00
2012 03 14 20 50  61  0.8  2.1  0.01 99.00  4.52 999 1008.4   8.5   6.7 999.0 99.0 99.00
2012 03 14 21 50  52  0.6  1.5  0.00 99.00  4.45 999 1009.0   7.4   6.9 999.0 99.0 99.00
2012 03 14 22 50 175  0.3  0.8  0.00 99.00  4.19 999 1009.4   8.8   7.0 999.0 99.0 99.00
2012 03 14 23 50  48  0.5  1.7  0.01 99.00  4.80 999 1010.1  10.6   7.1 999.0 99.0 99.00
2012 03 15 00 50 333  2.0  5.4  0.01 99.00  4.48 999 1011.1  16.6   8.2 999.0 99.0 99.00
2012 03 15 01 50 334  2.6  7.3  0.01 99.00  4.43 999 1011.7  14.9   9.5 999.0 99.0 99.00
2012 03 15 02 50   8  1.9  5.8  0.01 99.00  4.48 999 1012.2  13.6   9.7 999.0 99.0 99.00
2012 03 15 03 50  65  2.4  5.4  0.01 99.00  4.74 999 1013.3  11.4   9.2 999.0 99.0 99.00
2012 03 15 04 50  26  2.2  4.6  0.01 99.00  4.95 999 1014.4  10.5   8.8 999.0 99.0 99.00
2012 03 15 05 50  49  1.6  4.6  0.01 99.00  4.33 999 1015.0   8.5   8.2 999.0 99.0 99.00
2012 03 15 06 50   9  0.6  1.5  0.01 99.00  4.51 999 1015.9   7.2   7.5 999.0 99.0 99.00
2012 03 15 07 50 360  1.3  2.2  0.01 99.00  4.44 999 1016.7   6.8   6.8 999.0 99.0 99.00
2012 03 15 08 50 359  2.0  3.4  0.01 99.00  4.57 999 1017.1   7.3   6.6 999.0 99.0 99.00
2012 03 15 09 50   1  2.0  3.4  0.01 99.00  4.33 999 1017.7   7.0   6.2 999.0 99.0 99.00
2012 03 15 10 50  24  1.1  2.2  0.01 99.00  4.96 999 1018.3   6.0   6.0 999.0 99.0 99.00
2012 03 15 11 50   8  1.0  2.3  0.01 99.00  4.75 999 1019.0   6.2   5.7 999.0 99.0 99.00
2012 03 15 12 50  18  0.7  2.0  0.01 99.00  4.76 999 1019.6   6.1   5.5 999.0 99.0 99.00
2012 03 15 13 50 261  0.4  1.0 99.00 99.00 99.00 999 1020.1   3.5   5.0 999.0 99.0 99.00
2012 03 15 14 50 172  1.9  2.6  0.01 99.00  4.59 999 1020.7   3.9   5.1 999.0 99.0 99.00
2012 03 15 15 50  64  1.1  1.9  0.01 99.00  4.87 999 1020.6   5.3   5.8 999.0 99.0 99.00
2012 03 15 16 50  57  2.2  3.4  0.01 99.00  5.58 999 1019.9   5.1   6.0 999.0 99.0 99.00
2012 03 15 17 50  52  2.7  4.0  0.01 99.00  4.37 999 1019.5   4.7   5.9 999.0 99.0 99.00
2012 03 15 18 50  52  3.0  4.4  0.00 99.00  4.18 999 1019.2   5.4   6.1 999.0 99.0 99.00
2012 03 15 19 50  51  2.3  4.2  0.01 99.00  4.43 999 1018.6   5.8   6.4 999.0 99.0 99.00
2012 03 15 20 50  35  1.4  3.1  0.01 99.00  4.51 999 1018.8   5.7   6.6 999.0 99.0 99.00
2012 03 15 21 50  54  0.9  1.9  0.01 99.00  4.69 999 1018.9   6.1   6.6 999.0 99.0 99.00
2012 03 15 22 50  46  1.3  3.2  0.01 99.00  4.66 999 1018.3   5.3   6.7 999.0 99.0 99.00
2012 03 15 23 50  43  1.2  2.3  0.00 99.00  4.24 999 1018.0   4.9   6.6 999.0 99.0 99.00
2012 03 16 00 50  25  1.4  2.6  0.01 99.00  4.63 999 1018.5   5.3   6.3 999.0 99.0 99.00
2012 03 16 01 50 180  0.1  0.9  0.01 99.00  4.48 999 1018.8   3.8   5.9 999.0 99.0 99.00
2012 03 16 02 50 150  0.2  1.2  0.01 99.00  4.32 999 1019.1   2.8   5.5 999.0 99.0 99.00
2012 03 16 03 50 180  0.0  0.3  0.01 99.00  5.03 999 1018.8   2.1   4.9 999.0 99.0 99.00
